iter	Passed	Remaining
0	260	129810
1	282	70454
2	300	49865
3	328	40769
4	350	34661
5	380	31334
6	416	29328
7	448	27575
8	481	26274
9	509	24955
10	537	23874
11	578	23545
12	615	23044
13	649	22556
14	672	21750
15	696	21059
16	734	20858
17	776	20793
18	823	20836
19	855	20520
20	890	20309
21	927	20147
22	963	19978
23	983	19515
24	1016	19315
25	1050	19159
26	1081	18952
27	1098	18510
28	1120	18198
29	1137	17815
30	1164	17619
31	1184	17325
32	1203	17029
33	1218	16703
34	1248	16587
35	1271	16382
36	1289	16132
37	1308	15903
38	1326	15680
39	1351	15545
40	1366	15298
41	1391	15172
42	1406	14952
43	1430	14823
44	1444	14606
45	1475	14560
46	1496	14423
47	1517	14293
48	1533	14111
49	1559	14036
50	1588	13988
51	1612	13888
52	1629	13745
53	1643	13574
54	1668	13497
55	1685	13366
56	1709	13288
57	1725	13150
58	1749	13076
59	1761	12917
60	1780	12812
61	1799	12711
62	1812	12573
63	1836	12510
64	1864	12475
65	1876	12341
66	1893	12236
67	1911	12143
68	1927	12042
69	1944	11946
70	1965	11874
71	1985	11803
72	2003	11720
73	2025	11662
74	2039	11557
75	2066	11527
76	2081	11434
77	2095	11336
78	2117	11284
79	2142	11246
80	2156	11154
81	2181	11118
82	2195	11031
83	2220	10995
84	2236	10920
85	2261	10887
86	2277	10812
87	2300	10770
88	2316	10698
89	2346	10689
90	2368	10644
91	2388	10591
92	2403	10518
93	2427	10484
94	2439	10401
95	2467	10384
96	2488	10339
97	2510	10300
98	2534	10266
99	2554	10218
100	2572	10163
101	2588	10099
102	2601	10027
103	2628	10006
104	2654	9984
105	2669	9920
106	2692	9889
107	2708	9829
108	2729	9789
109	2746	9736
110	2768	9702
111	2794	9681
112	2831	9696
113	2893	9797
114	2945	9861
115	2997	9924
116	3065	10034
117	3106	10056
118	3148	10081
119	3197	10123
120	3226	10105
121	3274	10144
122	3297	10107
123	3324	10081
124	3350	10051
125	3381	10035
126	3396	9976
127	3421	9944
128	3451	9925
129	3470	9878
130	3497	9851
131	3521	9818
132	3539	9768
133	3558	9720
134	3586	9695
